PropertyID,Region,PropertyType,SizeSqm,Bedrooms,Bathrooms,YearBuilt,PropertyAge,HasGarage,HasPool,SecurityLevel,ProximityToAmenities_km,SalePrice,MonthlyRental,PricePerSqm,GrossRentalYield,NetROI,SaleDate
PROP-01818,Soweto,House,220.1,4.0,2,2004.0,20.0,1,0,2,2.46,1322000.0,8400.0,6006.36,7.62,-3.18,2021-05-02
PROP-01453,Waterfront,Commercial,184.5,2.0,2,2020.0,4.0,0,0,2,2.08,10693000.0,61600.0,57956.64,6.91,-3.89,2020-06-06
PROP-01303,Port Elizabeth,Apartment,123.2,3.0,2,2002.0,22.0,0,0,2,3.95,817000.0,4900.0,6631.49,7.2,-3.6,2021-10-21
PROP-00125,Durban North,Commercial,387.2,2.0,2,1987.0,37.0,1,0,2,2.15,4896000.0,16200.0,12644.63,3.97,-6.83,2023-12-07
PROP-00651,Umhlanga,Apartment,72.1,1.0,1,1985.0,39.0,0,0,2,0.54,921000.0,6200.0,12773.93,8.08,-2.72,2023-02-24
PROP-01713,Menlyn,Duplex,225.6,2.0,1,2007.0,17.0,0,0,3,3.32,2553000.0,15800.0,11316.49,7.43,-3.37,2020-03-16
PROP-00433,Stellenbosch,House,226.0,3.0,2,2001.0,23.0,1,0,2,1.1,2899000.0,18400.0,12827.43,7.62,-3.18,2019-08-11
PROP-00423,Fourways,Townhouse,157.4,2.0,1,1999.0,25.0,1,0,2,4.16,1768000.0,11400.0,11232.53,7.74,-3.06,2020-02-15
PROP-01872,Midrand,House,184.9,3.0,2,1993.0,31.0,0,0,2,1.64,1964000.0,11800.0,10621.96,7.21,-3.59,2023-09-23
PROP-00722,Sandton,Apartment,119.3,3.0,2,2015.0,9.0,0,0,2,4.22,2157000.0,14900.0,18080.47,8.29,-2.51,2020-12-14
PROP-01668,Midrand,Townhouse,138.4,3.0,2,2005.0,19.0,0,0,2,2.0,1455000.0,9200.0,10513.01,7.59,-3.21,2020-02-26
PROP-01392,Sandton,House,282.9,4.0,2,1999.0,25.0,1,1,3,3.5,6931000.0,39000.0,24499.82,6.75,-4.05,2020-04-16
PROP-00589,Rosebank,House,266.3,4.0,2,1992.0,32.0,0,0,1,0.98,5280000.0,28300.0,19827.26,6.43,-4.37,2023-08-15
PROP-01817,Sandton,House,242.8,3.0,2,1992.0,32.0,1,0,1,1.04,4421000.0,29700.0,18208.4,8.06,-2.74,2020-09-06
PROP-01104,Umhlanga,Apartment,106.8,1.0,1,2006.0,18.0,0,0,1,1.43,1486000.0,8200.0,13913.86,6.62,-4.18,2019-11-01
PROP-01129,Menlyn,Apartment,98.1,2.0,2,1994.0,30.0,0,0,2,0.85,1152000.0,6200.0,11743.12,6.46,-4.34,2024-03-16
PROP-01975,Port Elizabeth,Duplex,228.4,2.0,1,2010.0,14.0,1,1,1,2.57,1854000.0,9100.0,8117.34,5.89,-4.91,2021-11-15
PROP-01238,Umhlanga,Duplex,165.5,4.0,3,1999.0,25.0,0,1,1,1.9,2597000.0,15600.0,15691.84,7.21,-3.59,2022-03-24
PROP-00030,Rosebank,Apartment,164.3,1.0,1,2001.0,23.0,0,0,2,3.19,2341000.0,15600.0,14248.33,8.0,-2.8,2021-05-03
PROP-00545,Bloemfontein,Duplex,128.6,4.0,3,2020.0,4.0,1,1,3,2.86,1101000.0,6400.0,8561.43,6.98,-3.82,2023-11-23
PROP-00454,Midrand,Apartment,98.4,0.0,1,2012.0,12.0,0,0,2,0.17,1006000.0,6000.0,10223.58,7.16,-3.64,2024-05-08
PROP-01059,Durban North,Townhouse,106.2,2.0,1,1994.0,30.0,1,0,2,2.16,1172000.0,7200.0,11035.78,7.37,-3.43,2024-03-20
PROP-00603,Soweto,Apartment,107.6,2.0,2,2016.0,8.0,0,0,2,2.9,502000.0,3200.0,4665.43,7.65,-3.15,2021-02-25
PROP-00057,Menlyn,Commercial,346.8,3.0,2,1999.0,25.0,1,0,1,0.8,6170000.0,30900.0,17791.23,6.01,-4.79,2019-09-29
PROP-01794,Menlyn,Commercial,520.5,3.0,2,2019.0,5.0,1,0,3,0.25,7339000.0,35700.0,14099.9,5.84,-4.96,2022-09-15
PROP-00549,Durban North,Apartment,57.2,2.0,1,2015.0,9.0,0,0,1,3.36,562000.0,4700.0,9825.17,10.04,-0.76,2022-06-29
PROP-01118,Umhlanga,Duplex,185.2,3.0,2,2023.0,1.0,0,0,2,2.32,3334000.0,19900.0,18002.16,7.16,-3.64,2021-05-04
PROP-00252,Cape Town CBD,Duplex,170.4,2.0,2,2020.0,4.0,0,1,3,1.9,5031000.0,20600.0,29524.65,4.91,-5.89,2020-02-18
PROP-00100,Rosebank,House,236.3,4.0,2,2015.0,9.0,0,0,2,2.89,5250000.0,27900.0,22217.52,6.38,-4.42,2020-06-16
PROP-01345,Durban North,House,318.4,6.0,3,2023.0,1.0,1,0,3,3.16,4605000.0,22400.0,14462.94,5.84,-4.96,2021-06-06
PROP-00907,Port Elizabeth,House,189.6,3.0,2,2006.0,18.0,1,0,3,4.53,1591000.0,8100.0,8391.35,6.11,-4.69,2022-12-17
PROP-00299,Khayelitsha,Townhouse,159.8,3.0,2,2007.0,17.0,0,0,1,1.65,703000.0,3600.0,4399.25,6.15,-4.65,2019-10-07
PROP-01559,Port Elizabeth,Townhouse,155.6,4.0,2,2014.0,10.0,1,0,2,2.87,1281000.0,6100.0,8232.65,5.71,-5.09,2021-03-04
PROP-00926,Menlyn,Apartment,132.1,2.0,1,2018.0,6.0,0,0,2,0.29,1507000.0,7100.0,11408.02,5.65,-5.15,2020-10-31
PROP-01285,Rosebank,House,166.2,4.0,3,1996.0,28.0,1,1,1,0.33,4383000.0,18100.0,26371.84,4.96,-5.84,2023-03-13
PROP-01892,Bloemfontein,Apartment,118.0,3.0,2,2023.0,1.0,0,0,2,2.34,705000.0,4400.0,5974.58,7.49,-3.31,2022-01-21
PROP-01867,Rosebank,House,177.4,4.0,3,2013.0,11.0,0,0,2,1.81,4225000.0,26300.0,23816.23,7.47,-3.33,2023-10-20
PROP-01325,Stellenbosch,Apartment,76.6,2.0,1,2016.0,8.0,0,0,2,0.43,1419000.0,6500.0,18524.8,5.5,-5.3,2021-04-07
PROP-01547,Stellenbosch,House,153.9,3.0,2,1998.0,26.0,0,0,2,1.24,2751000.0,12400.0,17875.24,5.41,-5.39,2023-02-21
PROP-00528,Midrand,House,172.5,5.0,4,2002.0,22.0,1,0,3,4.05,2115000.0,11200.0,12260.87,6.35,-4.45,2020-11-14
PROP-01445,Fourways,Townhouse,169.2,5.0,3,1976.0,48.0,1,0,3,4.11,2535000.0,9600.0,14982.27,4.54,-6.26,2021-01-28
PROP-01256,Cape Town CBD,Townhouse,134.8,4.0,3,2000.0,24.0,1,0,3,0.32,2911000.0,15000.0,21594.96,6.18,-4.62,2022-07-09
PROP-00071,Waterfront,House,316.3,5.0,3,2011.0,13.0,1,0,2,0.66,15900000.0,82800.0,50268.73,6.25,-4.55,2020-04-18
PROP-00276,Port Elizabeth,Apartment,109.9,1.0,1,2006.0,18.0,0,0,2,3.32,713000.0,5000.0,6487.72,8.42,-2.38,2019-12-29
PROP-01055,Rosebank,House,201.5,4.0,3,2006.0,18.0,1,0,3,1.86,3461000.0,23200.0,17176.18,8.04,-2.76,2024-02-22
PROP-00412,Menlyn,Commercial,267.0,2.0,1,2003.0,21.0,0,0,1,0.14,4197000.0,20700.0,15719.1,5.92,-4.88,2022-02-02
PROP-00066,Soweto,Apartment,126.4,2.0,2,1986.0,38.0,0,0,1,4.13,420000.0,3800.0,3322.78,10.86,0.06,2022-05-17
PROP-00618,Soweto,Townhouse,198.6,5.0,4,1996.0,28.0,1,0,3,0.75,1301000.0,6700.0,6550.86,6.18,-4.62,2022-03-29
PROP-01010,Port Elizabeth,House,200.0,5.0,3,2023.0,1.0,1,1,1,0.16,1984000.0,11200.0,9920.0,6.77,-4.03,2019-07-22
PROP-01569,Cape Town CBD,House,217.0,4.0,3,1968.0,56.0,0,0,2,4.44,3774000.0,24400.0,17391.71,7.76,-3.04,2020-10-06
PROP-01229,Fourways,Apartment,109.1,1.0,1,1989.0,35.0,0,0,2,0.31,100260.0,7100.0,918.97,8.3,-2.5,2021-10-22
PROP-00999,Rosebank,House,234.1,3.0,2,2017.0,7.0,1,1,1,1.91,7092000.0,26900.0,30294.75,4.55,-6.25,2022-06-16
PROP-01407,Pretoria East,Townhouse,163.8,2.0,1,2002.0,22.0,1,0,2,4.31,1579000.0,9700.0,9639.8,7.37,-3.43,2022-10-29
PROP-01499,Menlyn,Apartment,87.4,4.0,2,2008.0,16.0,0,0,2,0.21,1214000.0,6100.0,13890.16,6.03,-4.77,2022-02-16
PROP-00112,Port Elizabeth,Apartment,88.2,4.0,2,1988.0,36.0,0,0,2,2.41,619000.0,4000.0,7018.14,7.75,-3.05,2020-10-09
PROP-00353,Soweto,Commercial,457.8,1.0,1,1990.0,34.0,1,0,2,2.41,2116000.0,11900.0,4622.11,6.75,-4.05,2022-03-08
PROP-01138,Port Elizabeth,House,276.2,6.0,4,1994.0,30.0,1,0,2,2.0,2166000.0,10900.0,7842.14,6.04,-4.76,2023-12-16
PROP-00862,Waterfront,Townhouse,203.1,4.0,2,1984.0,40.0,1,0,2,0.23,8835000.0,35300.0,43500.74,4.79,-6.01,2023-07-21
PROP-01062,Menlyn,House,343.6,4.0,3,2018.0,6.0,1,0,2,1.22,3971000.0,19200.0,11557.04,5.8,-5.0,2023-10-22
PROP-00573,Soweto,Apartment,135.6,3.0,2,1994.0,30.0,0,0,2,0.71,685000.0,3500.0,5051.62,6.13,-4.67,2022-05-02
PROP-00927,Port Elizabeth,Apartment,141.2,3.0,2,2019.0,5.0,0,0,2,2.2,900000.0,5800.0,6373.94,7.73,-3.07,2023-02-22
PROP-01408,Durban North,House,190.4,3.0,2,2005.0,19.0,1,0,3,1.12,3041000.0,13500.0,15971.64,5.33,-5.47,2021-02-18
PROP-00439,Menlyn,Commercial,580.5,1.0,1,2008.0,16.0,1,0,1,1.18,5246000.0,25100.0,9037.04,5.74,-5.06,2023-05-09
PROP-01344,Pretoria East,Commercial,132.7,2.0,2,1992.0,32.0,1,0,1,3.62,1874000.0,9100.0,14122.08,5.83,-4.97,2021-08-14
PROP-00747,Midrand,Apartment,86.9,1.0,1,1981.0,43.0,0,0,2,4.12,705000.0,4900.0,8112.77,8.34,-2.46,2022-08-24
PROP-01394,Sandton,House,233.2,3.0,2,1984.0,40.0,1,1,3,0.92,8001000.0,30700.0,34309.61,4.6,-6.2,2019-12-02
PROP-01447,Soweto,Apartment,124.0,2.0,1,2010.0,14.0,0,0,2,2.42,672000.0,3600.0,5419.35,6.43,-4.37,2019-11-03
PROP-00544,Sandton,Apartment,122.0,4.0,3,2002.0,22.0,0,0,2,0.96,3186000.0,13400.0,26114.75,5.05,-5.75,2020-07-22
PROP-01305,Cape Town CBD,House,353.3,4.0,3,1993.0,31.0,1,0,3,4.79,7816000.0,41300.0,22122.84,6.34,-4.46,2020-07-25
PROP-01193,Umhlanga,Apartment,129.5,0.0,1,2012.0,12.0,0,0,1,3.8,1808000.0,10800.0,13961.39,7.17,-3.63,2023-12-02
PROP-01005,Midrand,Apartment,138.5,1.0,1,2015.0,9.0,0,0,3,0.66,1336000.0,8500.0,9646.21,7.63,-3.17,2023-03-26
PROP-00070,Port Elizabeth,Commercial,457.4,4.0,3,1992.0,32.0,1,0,3,0.73,4149000.0,19500.0,9070.84,5.64,-5.16,2024-04-12
PROP-00768,Cape Town CBD,House,351.8,3.0,2,1992.0,32.0,1,0,3,2.09,6370000.0,34500.0,18106.88,6.5,-4.3,2023-09-04
PROP-00556,Durban North,Townhouse,122.9,3.0,2,2009.0,15.0,1,0,3,3.53,1804000.0,9000.0,14678.6,5.99,-4.81,2022-08-27
PROP-01369,Port Elizabeth,Duplex,161.8,5.0,3,2021.0,3.0,1,1,3,4.88,1716000.0,8700.0,10605.69,6.08,-4.72,2022-10-01
PROP-01302,Sandton,Duplex,164.0,2.0,1,2007.0,17.0,1,0,2,1.4,5314000.0,21500.0,32402.44,4.86,-5.94,2023-02-21
PROP-01692,Durban North,Apartment,85.3,2.0,1,2000.0,24.0,0,0,1,2.16,943000.0,6200.0,11055.1,7.89,-2.91,2023-10-06
PROP-01542,Menlyn,House,387.8,4.0,3,2021.0,3.0,1,0,3,4.43,4225000.0,20700.0,10894.79,5.88,-4.92,2023-05-06
PROP-00583,Sandton,House,182.2,4.0,3,2009.0,15.0,0,0,3,4.4,5271000.0,27400.0,28929.75,6.24,-4.56,2019-07-25
PROP-00600,Sandton,Commercial,339.0,1.0,1,1995.0,29.0,1,0,3,0.22,9240000.0,40100.0,27256.64,5.21,-5.59,2021-04-20
PROP-00591,Bloemfontein,Apartment,91.8,3.0,2,2020.0,4.0,0,0,2,1.2,548000.0,3200.0,5969.5,7.01,-3.79,2020-03-23
PROP-01601,Menlyn,Apartment,93.9,2.0,1,2023.0,1.0,0,0,2,1.58,1199000.0,7200.0,12768.9,7.21,-3.59,2022-11-20
PROP-00679,Rosebank,Apartment,76.2,2.0,1,1999.0,25.0,0,0,3,3.86,1455000.0,9700.0,19094.49,8.0,-2.8,2021-10-04
PROP-01906,Menlyn,Apartment,123.9,1.0,1,1998.0,26.0,0,0,2,2.18,1211000.0,6800.0,9774.01,6.74,-4.06,2022-01-15
PROP-01819,Cape Town CBD,Apartment,119.1,2.0,1,2016.0,8.0,0,0,1,2.88,2389000.0,13800.0,20058.77,6.93,-3.87,2020-03-16
PROP-01091,Waterfront,House,335.9,4.0,3,1969.0,55.0,1,0,2,1.96,16592000.0,58100.0,49395.65,4.2,-6.6,2022-08-19
PROP-00706,Durban North,House,386.9,2.0,1,2022.0,2.0,1,0,3,2.32,4909000.0,19100.0,12688.03,4.67,-6.13,2021-03-09
PROP-00465,Khayelitsha,Commercial,475.9,2.0,1,1989.0,35.0,0,0,3,1.5,1820000.0,9700.0,3824.33,6.4,-4.4,2022-08-27
PROP-00515,Fourways,House,329.1,4.0,2,2022.0,2.0,1,0,1,4.44,5256000.0,25900.0,15970.83,5.91,-4.89,2022-04-08
PROP-01650,Rosebank,House,228.9,3.0,2,1984.0,40.0,0,0,3,3.07,4669000.0,25400.0,20397.55,6.53,-4.27,2023-04-19
PROP-01952,Pretoria East,House,331.0,3.0,2,2007.0,17.0,0,0,3,4.64,2320000.0,15300.0,7009.06,7.91,-2.89,2022-05-05
PROP-00874,Menlyn,Commercial,332.3,2.0,1,1975.0,49.0,1,0,2,3.97,2815000.0,18100.0,8471.26,7.72,-3.08,2020-09-25
PROP-01294,Cape Town CBD,House,206.8,3.0,2,2015.0,9.0,1,0,1,3.94,5066000.0,28600.0,24497.1,6.77,-4.03,2023-10-02
PROP-00129,Fourways,House,301.8,4.0,3,1998.0,26.0,1,1,2,0.62,4752000.0,20000.0,15745.53,5.05,-5.75,2020-10-18
PROP-01380,Midrand,Commercial,163.2,3.0,2,2015.0,9.0,0,0,2,3.27,1265000.0,14600.0,7751.23,13.85,3.05,2023-05-26
PROP-01690,Khayelitsha,Townhouse,132.5,2.0,1,1997.0,27.0,1,0,1,3.14,587000.0,2600.0,4430.19,5.32,-5.48,2021-01-09
PROP-00533,Durban North,Duplex,164.9,4.0,3,2020.0,4.0,0,1,2,1.56,2385000.0,10500.0,14463.31,5.28,-5.52,2020-06-06
PROP-00858,Stellenbosch,House,397.2,5.0,4,1994.0,30.0,1,0,2,0.37,6423000.0,27400.0,16170.69,5.12,-5.68,2020-04-05
PROP-00938,Pretoria East,House,204.5,3.0,2,2010.0,14.0,1,0,3,2.54,2314000.0,11700.0,11315.4,6.07,-4.73,2022-11-02
PROP-00362,Rosebank,Apartment,69.5,0.0,1,1991.0,33.0,0,0,1,2.47,1056000.0,8000.0,15194.24,9.09,-1.71,2021-04-08
PROP-00577,Umhlanga,House,228.5,4.0,2,2003.0,21.0,1,0,1,4.12,4009000.0,22900.0,17544.86,6.85,-3.95,2020-04-06
PROP-01914,Menlyn,Apartment,101.2,3.0,2,2004.0,20.0,0,0,1,4.52,1062000.0,6200.0,10494.07,7.01,-3.79,2019-12-15
PROP-00257,Menlyn,Apartment,81.7,2.0,1,1997.0,27.0,0,0,2,0.53,992000.0,4800.0,12141.98,5.81,-4.99,2023-10-10
PROP-01240,Menlyn,House,219.6,3.0,2,2022.0,2.0,0,0,3,1.12,3452000.0,15400.0,15719.49,5.35,-5.45,2024-04-16
PROP-01090,Umhlanga,Townhouse,166.7,4.0,2,1993.0,31.0,0,0,1,0.39,2326000.0,13100.0,13953.21,6.76,-4.04,2023-10-11
PROP-00487,Soweto,House,213.5,3.0,2,1971.0,53.0,1,1,2,1.26,1208000.0,5600.0,5658.08,5.56,-5.24,2021-03-10
PROP-00343,Sandton,House,318.5,5.0,4,1992.0,32.0,1,0,1,4.13,7355000.0,40600.0,23092.62,6.62,-4.18,2023-04-26
PROP-00813,Sandton,House,198.7,3.0,2,1966.0,58.0,1,0,1,4.03,4047000.0,24500.0,20367.39,7.26,-3.54,2020-03-16
PROP-01176,Sandton,Townhouse,194.0,3.0,2,2005.0,19.0,1,0,1,3.48,3623000.0,21700.0,18675.26,7.19,-3.61,2020-07-22
PROP-01042,Stellenbosch,Duplex,178.8,3.0,2,2019.0,5.0,1,0,2,2.25,3412000.0,14000.0,19082.77,4.92,-5.88,2023-05-30
PROP-01581,Port Elizabeth,House,352.7,2.0,1,1998.0,26.0,0,0,1,2.79,2470000.0,12400.0,7003.12,6.02,-4.78,2021-02-18
PROP-01891,Bloemfontein,House,371.5,3.0,2,2002.0,22.0,1,1,3,1.55,2429000.0,11100.0,6538.36,5.48,-5.32,2022-10-07
PROP-00308,Stellenbosch,Commercial,369.8,0.0,1,1996.0,28.0,1,0,2,4.78,5279000.0,25200.0,14275.28,5.73,-5.07,2020-03-24
PROP-01420,Sandton,Apartment,159.8,2.0,2,1989.0,35.0,0,0,1,4.07,2662000.0,16100.0,16658.32,7.26,-3.54,2022-05-11
PROP-00520,Umhlanga,Apartment,125.3,2.0,2,2017.0,7.0,0,0,2,2.06,1724000.0,11600.0,13758.98,8.07,-2.73,2022-02-01
PROP-01122,Stellenbosch,Apartment,117.0,1.0,1,2019.0,5.0,0,0,2,3.95,1596000.0,9200.0,13641.03,6.92,-3.88,2022-05-26
PROP-00681,Umhlanga,Townhouse,194.8,4.0,3,1976.0,48.0,0,0,2,4.57,2842000.0,17600.0,14589.32,7.43,-3.37,2023-07-04
PROP-00234,Bloemfontein,Townhouse,177.6,3.0,2,1997.0,27.0,0,0,3,2.24,1224000.0,5900.0,6891.89,5.78,-5.02,2024-01-16
PROP-00232,Midrand,Townhouse,155.55,3.0,2,2019.0,5.0,1,0,2,2.49,1669000.0,8400.0,10729.67,6.04,-4.76,2022-07-08
PROP-00584,Sandton,House,193.1,5.0,3,1974.0,50.0,1,0,1,2.75,4414000.0,24000.0,22858.62,6.52,-4.28,2023-04-18
PROP-01551,Port Elizabeth,Apartment,73.6,4.0,3,1984.0,40.0,0,0,2,0.62,534000.0,3300.0,7255.43,7.42,-3.38,2020-08-09
PROP-01838,Cape Town CBD,House,298.8,3.0,2,2020.0,4.0,1,0,1,3.76,6846000.0,34900.0,22911.65,6.12,-4.68,2020-11-20
PROP-00893,Pretoria East,Townhouse,115.3,4.0,3,2018.0,6.0,1,0,3,3.02,1413000.0,7300.0,12254.99,6.2,-4.6,2021-05-20
PROP-01232,Rosebank,House,209.2,3.0,2,1995.0,29.0,1,1,2,2.66,3901000.0,26300.0,18647.23,8.09,-2.71,2020-06-23
PROP-00789,Stellenbosch,House,227.5,5.0,3,1992.0,32.0,1,0,2,2.11,3774000.0,16500.0,16589.01,5.25,-5.55,2020-03-13
PROP-00839,Stellenbosch,Commercial,270.9,1.0,1,1994.0,30.0,1,0,3,3.65,6068000.0,23800.0,22399.41,4.71,-6.09,2024-05-19
PROP-01086,Umhlanga,House,173.3,2.0,1,2013.0,11.0,1,1,1,1.05,3612000.0,17900.0,20842.47,5.95,-4.85,2022-09-04
PROP-00355,Durban North,Apartment,105.0,1.0,1,2014.0,10.0,0,0,1,4.46,956000.0,5300.0,9104.76,6.65,-4.15,2022-04-07
PROP-01693,Stellenbosch,Townhouse,190.5,4.0,2,1984.0,40.0,1,0,2,2.76,3040000.0,13800.0,15958.01,5.45,-5.35,2021-02-17
PROP-01158,Stellenbosch,Duplex,236.5,4.0,2,2006.0,18.0,1,0,3,3.79,3972000.0,16000.0,16794.93,4.83,-5.97,2023-09-09
PROP-01785,Waterfront,Commercial,167.0,2.0,2,1983.0,41.0,1,0,3,2.8,7912000.0,47500.0,47377.25,7.2,-3.6,2019-07-26
PROP-00306,Durban North,House,198.7,4.0,3,1998.0,26.0,1,0,3,4.38,3400000.0,13600.0,17111.22,4.8,-6.0,2021-05-14
PROP-00472,Fourways,Apartment,97.8,3.0,2,2018.0,6.0,0,0,2,2.15,1653000.0,7500.0,16901.84,5.44,-5.36,2020-08-09
PROP-01683,Fourways,House,253.7,4.0,3,1986.0,38.0,0,1,3,3.34,3317000.0,19000.0,13074.5,6.87,-3.93,2022-04-27
PROP-00932,Sandton,Apartment,102.0,2.0,1,2015.0,9.0,0,0,2,4.1,2178000.0,16500.0,21352.94,9.09,-1.71,2023-07-03
PROP-01566,Fourways,House,296.9,4.0,3,1991.0,33.0,1,0,1,1.62,3987000.0,19600.0,13428.76,5.9,-4.9,2020-06-02
PROP-01481,Khayelitsha,Commercial,404.7,2.0,1,2022.0,2.0,1,0,3,4.71,2214000.0,11100.0,5470.72,6.02,-4.78,2023-12-12
PROP-01111,Sandton,House,212.9,2.0,1,2018.0,6.0,1,0,2,1.24,6345000.0,19900.0,29802.72,3.76,-7.04,2021-01-23
PROP-01587,Port Elizabeth,Duplex,171.7,4.0,2,2012.0,12.0,1,0,1,1.29,1537000.0,9000.0,8951.66,7.03,-3.77,2023-09-08
PROP-01271,Cape Town CBD,House,285.8,4.0,3,2014.0,10.0,1,1,2,4.18,7204000.0,32600.0,25206.44,5.43,-5.37,2019-12-25
PROP-00819,Menlyn,Duplex,265.2,2.0,1,1976.0,48.0,1,1,3,0.36,2672000.0,13700.0,10075.41,6.15,-4.65,2020-10-28
PROP-00121,Pretoria East,House,207.3,4.0,3,2005.0,19.0,1,0,2,4.48,2358000.0,14700.0,11374.82,7.48,-3.32,2024-05-07
PROP-01361,Bloemfontein,House,152.9,3.0,2,2014.0,10.0,0,0,2,0.3,1364000.0,6700.0,8920.86,5.89,-4.91,2019-07-31
PROP-01894,Umhlanga,House,203.8,4.0,2,2004.0,20.0,1,0,1,1.82,3666000.0,17400.0,17988.22,5.7,-5.1,2023-10-28
PROP-00820,Soweto,Apartment,113.3,3.0,2,2007.0,17.0,0,0,1,0.94,527000.0,3100.0,4651.37,7.06,-3.74,2020-04-22
PROP-01164,Fourways,House,152.7,3.0,2,2013.0,11.0,1,1,2,4.5,2743000.0,13000.0,17963.33,5.69,-5.11,2023-06-02
PROP-00428,Waterfront,Apartment,72.6,2.0,1,1970.0,54.0,0,0,3,4.47,2355000.0,13400.0,32438.02,6.83,-3.97,2019-10-30
PROP-00136,Cape Town CBD,Apartment,71.5,1.0,1,2014.0,10.0,0,0,3,3.65,1487000.0,8900.0,20797.2,7.18,-3.62,2023-09-16
PROP-01508,Menlyn,House,383.0,2.0,1,2004.0,20.0,1,0,2,2.39,3701000.0,18900.0,9663.19,6.13,-4.67,2023-12-03
PROP-00375,Umhlanga,House,359.0,4.0,2,2015.0,9.0,1,0,2,2.2,6159000.0,28300.0,17155.99,5.51,-5.29,2022-01-26
PROP-00317,Menlyn,Apartment,81.0,3.0,2,2020.0,4.0,0,0,3,0.86,1123000.0,6400.0,13864.2,6.84,-3.96,2022-04-02
PROP-00430,Waterfront,House,229.3,4.0,3,2022.0,2.0,1,1,1,2.83,9740000.0,45900.0,42477.1,5.66,-5.14,2020-08-11
PROP-00255,Midrand,Commercial,368.5,1.0,1,2013.0,11.0,1,0,1,1.42,4035000.0,22000.0,10949.8,6.54,-4.26,2024-04-24
PROP-00415,Pretoria East,House,303.7,3.0,2,2013.0,11.0,0,1,3,4.76,3382000.0,17400.0,11135.99,6.17,-4.63,2024-01-12
PROP-01126,Stellenbosch,Duplex,137.2,4.0,3,2012.0,12.0,1,0,3,4.79,3146000.0,14300.0,22930.03,5.45,-5.35,2022-04-06
PROP-00110,Durban North,House,146.7,4.0,2,2012.0,12.0,1,1,2,4.81,2336000.0,10800.0,15923.65,5.55,-5.25,2019-10-03
PROP-01675,Menlyn,Apartment,85.5,1.0,1,1995.0,29.0,0,0,1,1.52,937000.0,4800.0,10959.06,6.15,-4.65,2022-01-15
PROP-01250,Sandton,Duplex,208.8,3.0,2,1995.0,29.0,1,0,2,1.57,4598000.0,20900.0,22021.07,5.45,-5.35,2020-06-14
PROP-00571,Midrand,House,379.2,4.0,2,2001.0,23.0,0,0,2,0.8,3787000.0,16600.0,9986.81,5.26,-5.54,2023-06-08
PROP-00240,Umhlanga,Commercial,246.8,2.0,1,1983.0,41.0,1,0,2,3.9,4389000.0,26600.0,17783.63,7.27,-3.53,2019-11-22
PROP-01608,Fourways,House,206.7,3.0,2,2013.0,11.0,1,1,3,1.54,3153000.0,16400.0,15253.99,6.24,-4.56,2020-03-03
